"","PG.Genes","row_mean.HN_L","row_mean.HS_L","row_mean.HN_H","row_mean.HS_H"
"319","GSTZ1",3698.404785,4870.04036466667,205.636245725,NA
"320","HTATSF1",2483.02628596667,4406.312907,NA,446.4193535
"321","PRKAB2",5858.80419925,2627.59611033333,NA,NA
"322","AP1G1",27890.3295875,22195.21224,NA,1502.89207213333
"323","STX6",2995.08813475,1190.75594066667,NA,NA
"324","SYNGR1",32044.1054675,20804.93164,NA,429.790598533333
"325","SYNGR2",1938.77722175,2183.5546265,NA,NA
"326","SYNGR3",76279.638675,29713.57617,NA,384.023854566667
"327","SGTA",2081.47415175,3175.00016266667,NA,409.458786
"328","ENSA",3669.46301285,941.0815836,NA,NA
"329","SLC25A20",7719.56103525,8793.06575633333,1592.384857125,630.106073753333
"330","NARS1",18313.334475,24731.3971333333,173.2361577,NA
"331","KRT86;KRT81",15753.72839325,65722.234865,NA,NA
"332","MYO1B",12167.9228525,16142.22103,872.19913312,789.10033401
"333","SLC25A17",395.764282233333,2600.88737,NA,171.262852966667
"334","NUDT21",640.83607685,20076.2685533333,25.59711679,298.621342966667
"335","LANCL1",18796.1582025,14218.7486966667,367.74591065,119.620590225
"336","STRN",21026.48877,14592.60221,NA,NA
"337","SCO2",1244.55031316667,1129.85253893333,NA,218.74703215
"338","CFAP410",1397.777664275,1106.36716716667,NA,NA
"339","GTPBP6",1218.269119175,2375.38533533333,17732.024414,4415.98339833333
"340","SLC37A4",2315.07975266667,4193.582764,NA,NA
"341","IDH3B",4935.1203615,6339.592611,109.3111801225,120.318855265
"342","NRDC",3003.33056625,3670.852295,NA,120.010227205
"343","CALU",16821.2258325,41467.1419266667,NA,NA
"344","EDIL3",316057.664075,123636.294266667,213.1011734,932.248718133333
"345","AHCYL1",4908.84075925,4408.23046866667,581.889038075,3457.62703433333
"346","KIF1C",1090.6792401,665.763356533333,NA,NA
"347","NDUFS5",33559.6069325,21069.2272133333,501.737136825,394.1107788
"348","PDE6D",11429.14722,10442.366211,257.36220165,283.542307533333
"349","ORC4",1236.33148193333,4340.01090533333,NA,43.5826276133333
"350","PEX1",944.06390375,2290.119466,NA,NA
"351","KALRN",35075.685545,12874.2724633333,190.7836513425,284.576306686667
"352","PPP1R12B",559.25740815,528.67105105,NA,NA
"353","BNIP3L;BNIP3",2747.2654115,2476.785563,NA,NA
"354","MED14",6153.193034,5501.94238266667,NA,NA
"355","PCDH7",3959.07226575,1528.96347063333,257.11337916,638.35554505
"356","PRPSAP2",6711.89648425,5943.787923,NA,NA
"357","SMARCA5",2074.7600405,26489.0006533333,79.544961935,610.790232366667
"358","ADCY3",2163.243225075,1209.6111652,111.08620166,NA
"359","KIAA0513",4305.03527825,1635.44966666667,101.7323198275,NA
"360","SPAG9",8223.86437975,6571.99837233333,886.799179025,603.872060166667
"361","KIF5C",270976.371125,103894.1146,NA,383.1275584
"362","MGRN1",3499.050598,2861.959717,NA,NA
"363","SIPA1L3",1033.951995675,766.08254985,NA,71.92800138
"364","LCMT2",1097.627044725,873.327473966667,NA,NA
"365","AQR",2289.350627,6130.772949,NA,6208.83186833333
"366","OPA1",45521.93457,30537.0781266667,NA,161.125174193333
"367","PIP5K1C",6487.38537575,3439.86376966667,52.1988747733333,158.253328345
"368","KIF1B",2913.81604,1643.653198,295.026339223333,364.792704266667
"369","KDM1A",1479.790237525,6029.98079433333,NA,75.93014717
"370","TBC1D4",3300.54992675,1681.90681966667,NA,NA
"371","NME2P1",1392.147445625,985.552307166667,639.2457398525,1603.34621156667
"372","ONECUT3",3458.56966166667,28233.7884133333,NA,1310.76936866667
"373","FADS1",1994.50766,7971.90625033333,NA,133.24163817
"374","GSDME",5158.5718995,1996.836182,NA,NA
"375","NRP2",2815.11718725,1528.37349466667,317.58948135,510.3527832
"376","BRINP1",1629.085846,NA,NA,NA
"377","PLXNC1",720.244133,405.157663966667,NA,NA
"378","ACSL4",7855.54187025,11576.29199,NA,236.724357633333
"379","SNX3",27067.164065,33863.4609366667,NA,474.517720533333
"380","STX10",4106.906616,1132.61637366667,NA,NA
"381","OGA",9747.73681575,6341.74902333333,751.664405825,636.4615275
"382","ADCY9",10503.895508,3097.17708333333,152.0866956875,209.826410923333
"383","SYNCRIP",12328.62964,194029.5677,149.931719486667,1356.10786966667
"384","TPST1",800.074386625,2476.010742,NA,NA
"385","CDC40",1810.24121073333,3636.64998366667,NA,734.0713501
